definition_id,method,representation_type,geometry_tree,instance_count
1,mapped,MappedRepresentation,"{""type"": ""IfcMappedItem"", ""mapping_source_id"": 8505, ""mapping_source"": {""representation_type"": ""SweptSolid"", ""items"": [{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcArbitraryClosedProfileDef"", ""profile_name"": ""M_Muntin Pattern_2x2"", ""profile_type"": ""AREA"", ""outer_curve"": {""type"": ""IfcPolyline"", ""points"": [[6.35, -6.35], [411.9, -6.35], [411.9, 6.35], [6.35, 6.35], [6.35, 261.9], [-6.35, 261.9], [-6.35, 6.35], [-411.9, 6.35], [-411.9, -6.35], [-6.35, -6.35], [-6.35, -261.9], [6.35, -261.9], [6.35, -6.35]]}}, ""depth"": 12.7, ""direction"": [0.0, 0.0, 1.0], ""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [-0.0, -22.225, 411.9], ""axis"": [0.0, 1.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}, {""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcArbitraryClosedProfileDef"", ""profile_name"": ""M_Muntin Pattern_2x2"", ""profile_type"": ""AREA"", ""outer_curve"": {""type"": ""IfcPolyline"", ""points"": [[6.35, -6.35], [411.9, -6.35], [411.9, 6.35], [6.35, 6.35], [6.35, 261.9], [-6.35, 261.9], [-6.35, 6.35], [-411.9, 6.35], [-411.9, -6.35], [-6.35, -6.35], [-6.35, -261.9], [6.35, -261.9], [6.35, -6.35]]}}, ""depth"": 12.7, ""direction"": [0.0, 0.0, 1.0], ""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [-0.0, 9.525, 411.9], ""axis"": [0.0, 1.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}]}, ""mapping_origin"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": null, ""ref_direction"": null}}",1
2,mapped,MappedRepresentation,"{""type"": ""IfcMappedItem"", ""mapping_source_id"": 8576, ""mapping_source"": {""representation_type"": ""SweptSolid"", ""items"": [{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcRectangleProfileDef"", ""profile_name"": ""with Sill"", ""profile_type"": ""AREA"", ""x_dim"": 720.0, ""y_dim"": 60.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [-0.0, -0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 19.05, ""direction"": [0.0, 0.0, 1.0], ""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, -950.4324, -0.0], ""axis"": [0.0, 0.0, 1.0], ""ref_direction"": [-1.0, 0.0, 0.0]}}, {""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcArbitraryClosedProfileDef"", ""profile_name"": ""with Sill"", ""profile_type"": ""AREA"", ""outer_curve"": {""type"": ""IfcPolyline"", ""points"": [[-19.05, -15.2396], [0.0, -15.2396], [0.0, -5.672], [19.05, -5.672], [19.05, 14.7604], [0.0, 14.7604], [-19.05, 12.3023], [-19.05, -15.2396]]}}, ""depth"": 745.4, ""direction"": [0.0, 0.0, 1.0], ""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [-372.7, -914.7604, 19.05], ""axis"": [1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, -1.0]}}, {""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcArbitraryClosedProfileDef"", ""profile_name"": ""with Sill"", ""profile_type"": ""AREA"", ""outer_curve"": {""type"": ""IfcPolyline"", ""points"": [[-495.0, -360.0], [465.0, -360.0], [465.0, -300.0], [-435.0, -300.0], [-435.0, 300.0], [465.0, 300.0], [465.0, 360.0], [-495.0, 360.0], [-495.0, -360.0]]}}, ""depth"": 19.05, ""direction"": [0.0, 0.0, 1.0], ""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, -435.0, -0.0], ""axis"": [0.0, 0.0, 1.0], ""ref_direction"": [0.0, -1.0, 0.0]}}]}, ""mapping_origin"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": null, ""ref_direction"": null}}",1
3,mapped,MappedRepresentation,"{""type"": ""IfcMappedItem"", ""mapping_source_id"": 8609, ""mapping_source"": {""representation_type"": ""SweptSolid"", ""items"": [{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcArbitraryProfileDefWithVoids"", ""profile_name"": ""Picture Frame"", ""profile_type"": ""AREA"", ""outer_curve"": {""type"": ""IfcPolyline"", ""points"": [[-347.3, -497.3], [347.3, -497.3], [347.3, 497.3], [-347.3, 497.3], [-347.3, -497.3]]}, ""inner_curves"": [{""type"": ""IfcPolyline"", ""points"": [[-287.3, -437.3], [-287.3, 437.3], [287.3, 437.3], [287.3, -437.3], [-287.3, -437.3]]}]}, ""depth"": 30.0, ""direction"": [0.0, 0.0, 1.0], ""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, -450.0, -0.0], ""axis"": [0.0, 0.0, 1.0], ""ref_direction"": [-1.0, 0.0, 0.0]}}]}, ""mapping_origin"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": null, ""ref_direction"": null}}",1
4,mapped,MappedRepresentation,"{""type"": ""IfcMappedItem"", ""mapping_source_id"": 8090, ""mapping_source"": {""representation_type"": ""Brep"", ""items"": [null, null, null, null, null, null, null, null, null]}, ""mapping_origin"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": null, ""ref_direction"": null}}",1
5,extrusion,SweptSolid,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcRectangleProfileDef"", ""profile_type"": ""AREA"", ""x_dim"": 5200.0, ""y_dim"": 5200.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 300.0, ""direction"": [0.0, 0.0, 1.0]}",1
6,extrusion,SweptSolid,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcRectangleProfileDef"", ""profile_type"": ""AREA"", ""x_dim"": 5200.0, ""y_dim"": 200.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [2600.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 3600.0, ""direction"": [0.0, 0.0, 1.0]}",1
7,extrusion,SweptSolid,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcRectangleProfileDef"", ""profile_type"": ""AREA"", ""x_dim"": 5000.0, ""y_dim"": 200.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [2500.0, 0.0], ""ref_direction"": [-1.0, 0.0]}}, ""depth"": 3600.0, ""direction"": [0.0, 0.0, 1.0]}",2
8,extrusion,SweptSolid,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcRectangleProfileDef"", ""profile_type"": ""AREA"", ""x_dim"": 4800.0, ""y_dim"": 200.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [2400.0, -0.0], ""ref_direction"": [-1.0, 0.0]}}, ""depth"": 3600.0, ""direction"": [0.0, 0.0, 1.0]}",1
9,mapped,MappedRepresentation,"{""type"": ""IfcMappedItem"", ""mapping_source_id"": 8408, ""mapping_source"": {""representation_type"": ""Brep"", ""items"": [null, null, null, null, null]}, ""mapping_origin"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": null, ""ref_direction"": null}}",1
10,extrusion,SweptSolid,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcRectangleProfileDef"", ""profile_type"": ""AREA"", ""x_dim"": 2100.0, ""y_dim"": 850.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [1050.0, 425.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 200.0, ""direction"": [0.0, 0.0, 1.0]}",1
11,extrusion,SweptSolid,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcRectangleProfileDef"", ""profile_type"": ""AREA"", ""x_dim"": 900.0, ""y_dim"": 600.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [450.0, 300.0], ""ref_direction"": [-1.0, 0.0]}}, ""depth"": 200.0, ""direction"": [0.0, 0.0, 1.0]}",1
